Paper,Field,Year,Title,Authors,Link
Other,2023 IEEE 20th Conference on Computational Intelligence in Bioinformatics …,2023,A SSIM Guided cGAN Architecture For Clinically Driven Generative Image Synthesis of Multiplexed Spatial Proteomics Channels,"JR Saurav, MS Nasr, P Koomey, M Robben, M Huber, J Weidanz, B Ryan, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:4TOpqqG69KYC
Other,2023 IEEE 20th Conference on Computational Intelligence in Bioinformatics …,2023,Analyzing Lack of Concordance Between the Proteome and Transcriptome in Paired scRNA-Seq and Multiplexed Spatial Proteomics,"JP Veerla, JR Saurav, M Robben, JM Luber",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:mVmsd5A6BfQC
Other,Journal of Computational Biology 30 (7),2023,Comparison of the Strengths and Weaknesses of Machine Learning Algorithms and Feature Selection on KEGG Database Microbial Gene Pathway Annotation and Its Effects on …,"M Robben, MS Nasr, A Das, JP Veerla, M Huber, J Jaworski, J Weidanz, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:9ZlFYXVOiuMC
Other,arXiv preprint arXiv:2306.06780,2023,Multimodal Pathology Image Search Between H&E Slides and Multiplexed Immunofluorescent Images,"A Hajighasemi, MD Saurav, MS Nasr, JP Veerla, A Darji, PB Malidarreh, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:qxL8FJ1GzNcC
Other,2023 IEEE 20th International Symposium on Biomedical Imaging (ISBI),2023,Clinically Relevant Latent Space Embedding of Cancer Histopathology Slides Through Variational Autoencoder Based Image Compression,"MS Nasr, A Hajighasemi, P Koomey, PB Malidarreh, M Robben, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:_kc_bZDykSQC
Other,Journal for ImmunoTherapy of Cancer 10 (Suppl 2),2022,1038 Loss of PD-1 signals improves CD8+ TIL function in a cell intrinsic and cell extrinsic manner,"S Markson, K Pauken, V Juneja, O Shahid, K Burke, J Rowe, J Long, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:aqlVkmm33-oC
Other,2022 ACM 13th Conference on Bioinformatics,2022,Selection of an Ideal Machine Learning Framework for Predicting Perturbation Effects on Network Topology of Bacterial KEGG Pathways,"M Robben, MS Nasr, A Das, M Huber, J Jaworski, J Weidanz, JM Luber",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:M3ejUd6NZC8C
Other,US Patent App. 17/432,2022,Compositions and methods for enhancing exercise endurance,"J Scheiman, GM Church, AD Kostic, TA Chavkin, JM Luber",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:5nxA0vEk-isC
Other,Nature 594 (7862),2021,Reconstruction of ancient microbial genomes from the human gut,"MC Wibowo, Z Yang, M Borry, A Hübner, KD Huang, BT Tierney, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:hqOjcs7Dif8C
Other,The Journal of Immunology 206 (1_Supplement),2021,Single-cell analyses characterize circulating anti-tumor CD8+ T cells in mice and humans and identify markers for their enrichment,"KE Pauken, O Shahid, KA Lagattuta, KM Mahuron, JM Luber, MM Lowe, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:0EnyYjriUFMC
Other,Journal of Experimental Medicine 218 (4),2021,Single-cell analyses identify circulating anti-tumor CD8 T cells and markers for their enrichment,"KE Pauken, O Shahid, KA Lagattuta, KM Mahuron, JM Luber, MM Lowe, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:UeHWp8X0CEIC
Other,Cancer Immunology Research 9 (2_Supplement),2021,Abstract PO016: Single-cell analyses characterize circulating anti-tumor CD8 T cells and identify markers for their isolation,"KE Pauken, O Shahid, KA Lagattuta, KM Mahuron, JM Luber, MM Lowe, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:UebtZRa9Y70C
Other,Journal of Experimental Medicine 217 (9),2020,Layilin augments integrin activation to promote antitumor immunity,"KM Mahuron, JM Moreau, JE Glasgow, DP Boda, ML Pauli, V Gouirand, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:zYLM7Y9cAGgC
Other,PLoS computational biology 16 (5),2020,"A systematic machine learning and data type comparison yields metagenomic predictors of infant age, sex, breastfeeding, antibiotic usage, country of origin, and delivery type","A Le Goallec, BT Tierney, JM Luber, EM Cofer, AD Kostic, CJ Patel",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:qjMakFHDy7sC
Other,Harvard University,2020,Systems Interrogation of Host-Microbiome Immunomodulation and Metabolism,JM Luber,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:roLk4NBRz8UC
Other,Cell host & microbe 26 (2),2019,The landscape of genetic content in the gut and oral human microbiome,"BT Tierney, Z Yang, JM Luber, M Beaudin, MC Wibowo, C Baek, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:d1gkVwhDpl0C
Other,Nature medicine 25 (7),2019,Meta-omics analysis of elite athletes identifies a performance-enhancing microbe that functions via lactate metabolism,"J Scheiman, JM Luber, TA Chavkin, T MacDonald, A Tung, LD Pham, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:Y0pCki6q_DkC
Other,Science Immunology 4 (32),2019,A perfect storm: Genetics and anticommensal antibodies shore up type 1 diabetes,"JM Luber, AD Kostic",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:2osOgNQ5qMEC
Other,Available at SSRN 3318927,2019,The Landscape of Genetic Content in the Human Microbiome,"BT Tierney, Z Yang, JM Luber, M Beaudin, MC Wibowo, C Baek, CJ Patel, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:W7OEmFMy1HYC
Other,Genome biology 19,2018,HiGlass: web-based visual exploration and analysis of genome interaction maps,"P Kerpedjiev, N Abdennur, F Lekschas, C McCallum, K Dinkla, H Strobelt, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:WF5omc3nYNoC
Other,Bioinformatics 34 (9),2018,Aether: leveraging linear programming for optimal cloud computing in genomics,"JM Luber, BT Tierney, EM Cofer, CJ Patel, AD Kostic",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:u-x6o8ySG0sC
Other,Gigascience 7 (3),2018,Assessment of the cPAS-based BGISEQ-500 platform for metagenomic sequencing,"C Fang, H Zhong, Y Lin, B Chen, M Han, H Ren, H Lu, JM Luber, M Xia, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:Tyk-4Ss8FVUC
Other,,2018,Assessment of the cPAS-based BGISEQ-500 platform for metagenomic sequencing. Gigascience 7: 1–8,"C Fang, H Zhong, Y Lin, B Chen, M Han, H Ren, H Lu, JM Luber, M Xia, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:Se3iqnhoufwC
Other,Nature 549 (7671),2017,The 4D nucleome project,"J Dekker, AS Belmont, M Guttman, VO Leshyk, JT Lis, S Lomvardas, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:LkGwnXOMwfcC
Other,Current Biology 27 (8),2017,Gut microbiota: small molecules modulate host cellular functions,"JM Luber, AD Kostic",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:u5HHmVD_uO8C
Other,bioRxiv 2017,2017,HiGlass: web-based visual comparison and exploration of genome interaction maps,"P Kerpedjiev, N Abdennur, F Lekschas, C McCallum, K Dinkla, H Strobelt, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:ufrVoPGSRksC
Other,,2016,Improved Prediction of Mouse Pathways Related to Bone Maintenance Through Machine Learning Utilizing Diverse Genomic Data,JM Luber,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:IjCSPb-OGe4C
Other,,2015,Identifying genome signatures of drug response in patient derived xenografts (PDX): a machine learning approach.,J Luber,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:_FxGoFyzp5QC
Other,,,Utilizing Human-in-the-Loop AI to Re-Evaluate Cellular Uptake Mechanisms of Therapeutic Poloxamer P188,"A Alsup, N Alatrash, K Fowlds, R Shihab, J Luber, M Cho",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:mB3voiENLucC
Other,,,Aether Supplementary Materials,"JM Luber, BT Tierney, EM Cofer, CJ Patel, AD Kostic",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:YsMSGLbcyi4C
